source_method,reference decomposition,duplicated,notes
org.springframework.samples.petclinic.model.Person.setFirstName(String firstName),vets,TRUE,
org.springframework.samples.petclinic.model.Person.setLastName(String lastName),vets,TRUE,
org.springframework.samples.petclinic.PetClinicApplication.main(String[] args),vets,TRUE,
org.springframework.samples.petclinic.system.CacheConfiguration.cacheConfiguration(),vets,,not in microservice
org.springframework.samples.petclinic.system.CacheConfiguration.petclinicCacheConfigurationCustomizer(),vets,,
org.springframework.samples.petclinic.vet.Vet.addSpecialty(Specialty specialty),vets,,
org.springframework.samples.petclinic.vet.Vet.getNrOfSpecialties(),vets,,
org.springframework.samples.petclinic.vet.Vet.getSpecialties(),vets,,
org.springframework.samples.petclinic.vet.Vet.getSpecialtiesInternal(),vets,,
org.springframework.samples.petclinic.vet.Vet.setSpecialtiesInternal(Set<Specialty> specialties),vets,,
org.springframework.samples.petclinic.vet.VetController.showResourcesVetList(),vets,,
"org.springframework.samples.petclinic.vet.VetController.showVetList(int page,Model model)",vets,,not in microservice
org.springframework.samples.petclinic.vet.VetController.VetController(VetRepository clinicService),vets,,
org.springframework.samples.petclinic.vet.VetRepository.findAll(),vets,,
org.springframework.samples.petclinic.vet.VetRepository.findAll(Pageable pageable),vets,,not in microservice
org.springframework.samples.petclinic.vet.Vets.getVetList(),vets,,
org.springframework.samples.petclinic.model.BaseEntity.getId(),visits,TRUE,
org.springframework.samples.petclinic.model.BaseEntity.isNew(),visits,TRUE,
org.springframework.samples.petclinic.model.BaseEntity.setId(Integer id),visits,TRUE,
org.springframework.samples.petclinic.model.NamedEntity.getName(),visits,TRUE,
org.springframework.samples.petclinic.model.NamedEntity.setName(String name),visits,TRUE,
org.springframework.samples.petclinic.model.NamedEntity.toString(),visits,TRUE,
org.springframework.samples.petclinic.model.Person.getFirstName(),visits,TRUE,
org.springframework.samples.petclinic.model.Person.getLastName(),visits,TRUE,
org.springframework.samples.petclinic.model.Person.setFirstName(String firstName),visits,TRUE,
org.springframework.samples.petclinic.model.Person.setLastName(String lastName),visits,TRUE,
org.springframework.samples.petclinic.owner.Visit.getDate(),visits,,
org.springframework.samples.petclinic.owner.Visit.getDescription(),visits,,
org.springframework.samples.petclinic.owner.Visit.setDate(LocalDate date),visits,,
org.springframework.samples.petclinic.owner.Visit.setDescription(String description),visits,,
org.springframework.samples.petclinic.owner.Visit.Visit(),visits,,not in microservice
org.springframework.samples.petclinic.owner.VisitController.initNewVisitForm(),visits,,not in microservice
"org.springframework.samples.petclinic.owner.VisitController.loadPetWithVisit(int ownerId,int petId,Map<String,Object> model)",visits,,
"org.springframework.samples.petclinic.owner.VisitController.processNewVisitForm(Owner owner,int petId,Visit visit,BindingResult result)",visits,,
org.springframework.samples.petclinic.owner.VisitController.setAllowedFields(WebDataBinder dataBinder),visits,,not in microservice
org.springframework.samples.petclinic.owner.VisitController.VisitController(OwnerRepository owners),visits,,
org.springframework.samples.petclinic.PetClinicApplication.main(String[] args),visits,TRUE,
"org.springframework.samples.petclinic.vet.VetController.addPaginationModel(int page,Page<Vet> paginated,Model model)",visits,,not in microservice
org.springframework.samples.petclinic.vet.VetController.findPaginated(int page),visits,,not in microservice
