method full name,reference decomposition,duplicate
org.mybatis.jpetstore.mapper.AccountMapper.insertSignon(Account account),account,
org.mybatis.jpetstore.mapper.AccountMapper.updateAccount(Account account),account,
org.mybatis.jpetstore.mapper.AccountMapper.updateProfile(Account account),account,
org.mybatis.jpetstore.mapper.AccountMapper.updateSignon(Account account),account,
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory(String categoryId),catalog,
org.mybatis.jpetstore.mapper.CategoryMapper.getCategoryList(),catalog,
org.mybatis.jpetstore.mapper.ItemMapper.getInventoryQuantity(String itemId),catalog,
org.mybatis.jpetstore.mapper.ItemMapper.getItem(String itemId),catalog,
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(String productId),catalog,
"org.mybatis.jpetstore.mapper.ItemMapper.updateInventoryQuantity(Map<String,Object> param)",catalog,
org.mybatis.jpetstore.mapper.LineItemMapper.getLineItemsByOrderId(int orderId),order,
org.mybatis.jpetstore.mapper.LineItemMapper.insertLineItem(LineItem lineItem),order,
org.mybatis.jpetstore.mapper.OrderMapper.getOrder(int orderId),order,
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(String username),order,
org.mybatis.jpetstore.mapper.OrderMapper.insertOrder(Order order),order,
org.mybatis.jpetstore.mapper.OrderMapper.insertOrderStatus(Order order),order,
org.mybatis.jpetstore.mapper.ProductMapper.getProduct(String productId),catalog,
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory(String categoryId),catalog,
org.mybatis.jpetstore.mapper.ProductMapper.searchProductList(String keywords),catalog,
org.mybatis.jpetstore.mapper.SequenceMapper.getSequence(Sequence sequence),order,
org.mybatis.jpetstore.mapper.SequenceMapper.updateSequence(Sequence sequence),order,
org.mybatis.jpetstore.service.AccountService.AccountService(AccountMapper accountMapper),account,
org.mybatis.jpetstore.service.AccountService.getAccount(String username),account,
"org.mybatis.jpetstore.service.AccountService.getAccount(String username,String password)",account,
org.mybatis.jpetstore.service.AccountService.insertAccount(Account account),account,
org.mybatis.jpetstore.service.AccountService.updateAccount(Account account),account,
org.mybatis.jpetstore.service.AccountService.updateAccount.(lambda_expr_1)(T (inferred) password),account,
org.mybatis.jpetstore.service.AccountService.updateAccount.(lambda_expr_2)(T (inferred) password),account,
"org.mybatis.jpetstore.service.CatalogService.CatalogService(CategoryMapper categoryMapper,ItemMapper itemMapper,ProductMapper productMapper)",catalog,
org.mybatis.jpetstore.service.CatalogService.getCategory(String categoryId),catalog,
org.mybatis.jpetstore.service.CatalogService.getCategoryList(),catalog,
org.mybatis.jpetstore.service.CatalogService.getItem(String itemId),catalog,
org.mybatis.jpetstore.service.CatalogService.getItemListByProduct(String productId),catalog,
org.mybatis.jpetstore.service.CatalogService.getProduct(String productId),catalog,
org.mybatis.jpetstore.service.CatalogService.getProductListByCategory(String categoryId),catalog,
org.mybatis.jpetstore.service.CatalogService.isItemInStock(String itemId),catalog,
org.mybatis.jpetstore.service.CatalogService.searchProductList(String keywords),catalog,
org.mybatis.jpetstore.service.OrderService.getNextId(String name),order,
org.mybatis.jpetstore.service.OrderService.getOrder(int orderId),order,
org.mybatis.jpetstore.service.OrderService.getOrder.(lambda_expr_1)(LineItem (inferred) lineItem),order,
org.mybatis.jpetstore.service.OrderService.getOrdersByUsername(String username),order,
org.mybatis.jpetstore.service.OrderService.insertOrder(Order order),order,
org.mybatis.jpetstore.service.OrderService.insertOrder.(lambda_expr_1)(LineItem (inferred) lineItem),order,
org.mybatis.jpetstore.service.OrderService.insertOrder.(lambda_expr_2)(LineItem (inferred) lineItem),order,
"org.mybatis.jpetstore.service.OrderService.OrderService(ItemMapper itemMapper,OrderMapper orderMapper,SequenceMapper sequenceMapper,LineItemMapper lineItemMapper)",order,
org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext(),order,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext(),account,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext(),catalog,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.setContext(ActionBeanContext context),order,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.setContext(ActionBeanContext context),account,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.setContext(ActionBeanContext context),catalog,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage(String value),order,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage(String value),account,TRUE
org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage(String value),catalog,TRUE
org.mybatis.jpetstore.web.actions.AccountActionBean.clear(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.editAccountForm(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.getAccount(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.getCategories(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.getLanguages(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.getMyList(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.getPassword(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.getUsername(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.isAuthenticated(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.newAccount(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.newAccountForm(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.setMyList(List<Product> myList),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.setPassword(String password),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.setUsername(String username),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.signoff(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.signon(),account,
org.mybatis.jpetstore.web.actions.AccountActionBean.signonForm(),account,
org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart(),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.checkOut(),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.clear(),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.getCart(),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.removeItemFromCart(),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.setCart(Cart cart),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.setWorkingItemId(String workingItemId),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.updateCartQuantities(),catalog,
org.mybatis.jpetstore.web.actions.CartActionBean.viewCart(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.clear(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategoryId(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategoryList(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getItem(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getItemId(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getItemList(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getKeyword(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getProduct(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getProductId(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.getProductList(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.searchProducts(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setCategory(Category category),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setCategoryId(String categoryId),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setCategoryList(List<Category> categoryList),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setItem(Item item),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setItemId(String itemId),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setItemList(List<Item> itemList),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setKeyword(String keyword),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setProduct(Product product),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setProductId(String productId),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.setProductList(List<Product> productList),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewItem(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewMain(),catalog,
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct(),catalog,
org.mybatis.jpetstore.web.actions.OrderActionBean.clear(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.getCreditCardTypes(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.getOrder(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderId(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm(),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.setConfirmed(boolean confirmed),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.setOrder(Order order),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.setOrderId(int orderId),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.setShippingAddressRequired(boolean shippingAddressRequired),order,
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder(),order,
