<android.widget.EditText: android.text.Editable getText()> -> _SOURCE_
<java.io.File: boolean setWritable(boolean,boolean)> -> _SINK_
<java.io.FileOutputStream: void write(byte[],int,int)> -> _SINK_
<java.io.FileOutputStream: void write(int)> -> _SINK_
<java.io.FilterWriter: void write(char[],int,int)> -> _SINK_
<java.io.FilterWriter: void write(int)> -> _SINK_
<java.io.FilterWriter: void write(java.lang.String,int,int)> -> _SINK_
<java.io.ObjectOutputStream: void write(byte[],int,int)> -> _SINK_
<java.io.ObjectOutputStream: void write(int)> -> _SINK_
<java.io.ObjectOutputStream: void writeBoolean(boolean)> -> _SINK_
<java.io.ObjectOutputStream: void writeByte(int)> -> _SINK_
<java.io.ObjectOutputStream: void writeBytes(java.lang.String)> -> _SINK_
<java.io.ObjectOutputStream: void writeChar(int)> -> _SINK_
<java.io.ObjectOutputStream: void writeChars(java.lang.String)> -> _SINK_
<java.io.ObjectOutputStream: void writeClassDescriptor(java.io.ObjectStreamClass)> -> _SINK_
<java.io.ObjectOutputStream: void writeDouble(double)> -> _SINK_
<java.io.ObjectOutputStream: void writeFloat(float)> -> _SINK_
<java.io.ObjectOutputStream: void writeInt(int)> -> _SINK_
<java.io.ObjectOutputStream: void writeLong(long)> -> _SINK_
<java.io.ObjectOutputStream: void writeShort(int)> -> _SINK_
<java.io.ObjectOutputStream: void writeUTF(java.lang.String)> -> _SINK_
<java.io.ObjectOutputStream: void writeUnshared(java.lang.Object)> -> _SINK_
<java.io.OutputStream: void write(byte[])> -> _SINK_
<java.io.OutputStreamWriter: void write(char[],int,int)> -> _SINK_
<java.io.OutputStreamWriter: void write(int)> -> _SINK_
<java.io.OutputStreamWriter: void write(java.lang.String,int,int)> -> _SINK_
<java.io.OutputStreamWriter: void write(java.lang.String)> -> _SINK_
<java.io.PipedOutputStream: void write(byte[],int,int)> -> _SINK_
<java.io.PipedOutputStream: void write(int)> -> _SINK_
<java.io.PipedWriter: void write(char[],int,int)> -> _SINK_
<java.io.PipedWriter: void write(int)> -> _SINK_
<java.io.PrintStream: java.io.PrintStream append(char)> -> _SINK_
<java.io.PrintStream: java.io.PrintStream append(java.lang.CharSequence)> -> _SINK_
<java.io.PrintStream: java.io.PrintStream append(java.lang.CharSequence,int,int)> -> _SINK_
<java.io.PrintStream: java.io.PrintStream printf(java.lang.String,java.lang.Object[])> -> _SINK_
<java.io.PrintStream: java.io.PrintStream printf(java.util.Locale,java.lang.String,java.lang.Object[])> -> _SINK_
<java.io.PrintStream: java.lang.Appendable append(char)> -> _SINK_
<java.io.PrintStream: java.lang.Appendable append(java.lang.CharSequence)> -> _SINK_
<java.io.PrintStream: java.lang.Appendable append(java.lang.CharSequence,int,int)> -> _SINK_
<java.io.PrintStream: void print(boolean)> -> _SINK_
<java.io.PrintStream: void print(char)> -> _SINK_
<java.io.PrintStream: void print(char[])> -> _SINK_
<java.io.PrintStream: void print(double)> -> _SINK_
<java.io.PrintStream: void print(float)> -> _SINK_
<java.io.PrintStream: void print(int)> -> _SINK_
<java.io.PrintStream: void print(java.lang.Object)> -> _SINK_
<java.io.PrintStream: void print(java.lang.String)> -> _SINK_
<java.io.PrintStream: void print(long)> -> _SINK_
<java.io.PrintStream: void println()> -> _SINK_
<java.io.PrintStream: void println(boolean)> -> _SINK_
<java.io.PrintStream: void println(char)> -> _SINK_
<java.io.PrintStream: void println(char[])> -> _SINK_
<java.io.PrintStream: void println(double)> -> _SINK_
<java.io.PrintStream: void println(float)> -> _SINK_
<java.io.PrintStream: void println(int)> -> _SINK_
<java.io.PrintStream: void println(java.lang.Object)> -> _SINK_
<java.io.PrintStream: void println(java.lang.String)> -> _SINK_
<java.io.PrintStream: void println(long)> -> _SINK_
<java.io.PrintStream: void write(byte[],int,int)> -> _SINK_
<java.io.PrintStream: void write(int)> -> _SINK_
<java.io.PrintWriter: java.io.PrintWriter append(char)> -> _SINK_
<java.io.PrintWriter: java.io.PrintWriter append(java.lang.CharSequence)> -> _SINK_
<java.io.PrintWriter: java.io.PrintWriter append(java.lang.CharSequence,int,int)> -> _SINK_
<java.io.PrintWriter: java.io.Writer append(char)> -> _SINK_
<java.io.PrintWriter: java.io.Writer append(java.lang.CharSequence)> -> _SINK_
<java.io.PrintWriter: java.io.Writer append(java.lang.CharSequence,int,int)> -> _SINK_
<java.io.PrintWriter: java.lang.Appendable append(char)> -> _SINK_
<java.io.PrintWriter: java.lang.Appendable append(java.lang.CharSequence)> -> _SINK_
<java.io.PrintWriter: java.lang.Appendable append(java.lang.CharSequence,int,int)> -> _SINK_
<java.io.PrintWriter: void print(boolean)> -> _SINK_
<java.io.PrintWriter: void print(char)> -> _SINK_
<java.io.PrintWriter: void print(char[])> -> _SINK_
<java.io.PrintWriter: void print(double)> -> _SINK_
<java.io.PrintWriter: void print(float)> -> _SINK_
<java.io.PrintWriter: void print(int)> -> _SINK_
<java.io.PrintWriter: void print(java.lang.Object)> -> _SINK_
<java.io.PrintWriter: void print(java.lang.String)> -> _SINK_
<java.io.PrintWriter: void print(long)> -> _SINK_
<java.io.PrintWriter: void println()> -> _SINK_
<java.io.PrintWriter: void println(boolean)> -> _SINK_
<java.io.PrintWriter: void println(char)> -> _SINK_
<java.io.PrintWriter: void println(char[])> -> _SINK_
<java.io.PrintWriter: void println(double)> -> _SINK_
<java.io.PrintWriter: void println(float)> -> _SINK_
<java.io.PrintWriter: void println(int)> -> _SINK_
<java.io.PrintWriter: void println(java.lang.Object)> -> _SINK_
<java.io.PrintWriter: void println(java.lang.String)> -> _SINK_
<java.io.PrintWriter: void println(long)> -> _SINK_
<java.io.PrintWriter: void write(char[])> -> _SINK_
<java.io.PrintWriter: void write(char[],int,int)> -> _SINK_
<java.io.PrintWriter: void write(int)> -> _SINK_
<java.io.PrintWriter: void write(java.lang.String)> -> _SINK_
<java.io.PrintWriter: void write(java.lang.String,int,int)> -> _SINK_
<java.io.RandomAccessFile: void write(byte[])> -> _SINK_
<java.io.RandomAccessFile: void write(byte[],int,int)> -> _SINK_
